route,status,score,collisions,failed,watchdog
14194,Completed,100,0,0,0
14909,Completed,100,0,0,0
17598,Completed,60,8.304,1,0
1790,Completed,100,0,0,0
18305,Completed,100,0,0,0
18356,Completed,100,0,0,0
2050,Completed,70,0,1,0
2086,Completed,100,0,0,0
2115,Completed,100,0,0,0
2144,Completed,100,0,0,0
2283,Completed,100,0,0,0
23670,Completed,100,0,0,0
2373,Completed,100,0,0,0
23901,Completed,100,0,0,0
2397,Completed,100,0,0,0
24092,Completed,100,0,0,0
24240,Completed,100,0,0,0
24294,Completed,100,0,0,0
24340,Completed,100,0,0,0
24781,Completed,100,0,0,0
24795,Completed,60,7.063,1,0
2513,Completed,100,0,0,0
2534,Completed,100,0,0,0
2539,Completed,100,0,0,0
2554,Completed,100,0,0,0
25865,Completed,100,0,0,0
25968,Completed,100,0,0,0
26394,Failed,35.87,0,1,0
26406,Completed,100,0,0,0
2643,Completed,100,0,0,0
2668,Completed,100,0,0,0
2715,Completed,100,0,0,0
27529,Failed,35.1306,18.193,1,0
2802,Completed,100,0,0,0
28111,Completed,100,0,0,0
28210,Completed,100,0,0,0
28241,Completed,100,0,0,0
2847,Completed,100,0,0,0
2943,Failed,57.04,0,1,0
3074,Completed,100,0,0,0
3090,Completed,70,0,1,0
3144,Completed,70,0,1,0
3189,Completed,100,0,0,0
3307,Completed,100,0,0,0
3464,Completed,44.558881,7.512,1,0
3482,Completed,100,0,0,0
3540,Completed,100,0,0,0
3572,Completed,100,0,0,0
3670,Completed,60,13.789,1,0
3708,Completed,100,0,0,0
3731,Completed,100,0,0,0
3785,Failed,98.66,0,1,0
3865,Completed,70,0,1,0
3890,Completed,100,0,0,0
4183,Completed,100,0,0,0
4683,Completed,100,0,0,0
