route,arm,k,status,score,collisions,failed,watchdog
11715,cand,1,Failed,30.48,22.974,1,0
11715,base,2,INVALID,,,NA,1
11715,cand,4,Failed,30.48,22.974,1,0
17569,base,1,Completed,100,0,0,0
17569,cand,3,Completed,100,0,0,0
17569,base,4,INVALID,,,NA,1
17598,cand,2,Completed,60,8.304,1,0
17598,base,3,Completed,100,0,0,0
2084,cand,1,Completed,60,12.614,1,0
2084,base,2,Completed,100,0,0,0
2084,cand,4,Completed,60,12.614,1,0
24258,base,1,Failed,77.13,0,1,0
24258,base,4,Failed,46.278,9.933,1,0
24795,cand,2,Completed,100,0,0,0
24795,base,3,Completed,100,0,0,0
25845,cand,1,Failed,40.572,14.059,1,0
25845,base,2,Completed,100,0,0,0
25845,cand,4,Failed,40.572,14.059,1,0
2664,base,1,Completed,100,0,0,0
2664,cand,3,Failed,29.34,15.368,1,0
2664,base,4,Completed,100,0,0,0
26944,cand,2,Failed,30.558,22.743,1,0
26944,base,3,Completed,100,0,0,0
2709,cand,1,Completed,100,0,0,0
2709,base,2,Completed,100,0,0,0
2709,cand,4,Completed,100,0,0,0
27506,base,1,Completed,100,0,0,0
27506,cand,3,Completed,100,0,0,0
27506,base,4,Completed,100,0,0,0
27529,cand,2,Completed,100,0,0,0
27529,base,3,Failed,28.67,0,1,0
27532,cand,1,Completed,60,14.211,1,0
27532,base,2,Completed,100,0,0,0
27532,cand,4,Completed,60,14.211,1,0
28099,base,1,Completed,60,11.696,1,0
28099,cand,3,Completed,60,11.696,1,0
28099,base,4,Completed,60,11.696,1,0
28219,cand,2,Completed,100,0,0,0
28219,base,3,Failed,31.038,23.955,1,0
3086,cand,1,Completed,100,0,0,0
3086,base,2,Completed,100,0,0,0
3086,cand,4,Completed,100,0,0,0
3464,base,1,Completed,100,0,0,0
3464,cand,3,Completed,44.558881,7.512,1,0
3464,base,4,Completed,100,0,0,0
3670,cand,2,Completed,100,0,0,0
3670,base,3,Completed,100,0,0,0
3737,cand,1,Completed,12.96,54.379,1,0
3737,base,2,Completed,100,0,0,0
3737,cand,4,Completed,12.96,54.379,1,0
2050,base,1,Completed,100,0,0,0
28243,cand,1,Completed,70,0,1,0
28243,base,2,Completed,100,0,0,0
3048,cand,2,Failed,95.76,0,1,0
3144,base,1,Completed,70,0,1,0
3865,cand,1,Completed,70,0,1,0
3865,base,2,Completed,100,0,0,0
4937,cand,2,Completed,70,0,1,0
