route,status,score,collisions,failed,watchdog
14842,Completed,100,0,0,0
1711,Completed,100,0,0,0
1773,Completed,100,0,0,0
1792,Completed,100,0,0,0
18311,Completed,100,0,0,0
1852,Completed,100,0,0,0
2082,Completed,100,0,0,0
2091,Completed,100,0,0,0
2129,Completed,100,0,0,0
2164,Completed,100,0,0,0
2286,Completed,100,0,0,0
23700,Completed,100,0,0,0
23771,Completed,100,0,0,0
23918,Completed,100,0,0,0
2403,Completed,100,0,0,0
2416,Completed,100,0,0,0
24252,Completed,100,0,0,0
24330,Completed,100,0,0,0
24367,Completed,100,0,0,0
24784,Completed,100,0,0,0
24841,Completed,100,0,0,0
25300,Completed,100,0,0,0
25358,Completed,100,0,0,0
25424,Completed,100,0,0,0
25845,Failed,41.142,13.864,1,0
25928,Completed,100,0,0,0
25975,Completed,100,0,0,0
26396,Completed,100,0,0,0
26408,Failed,15.24,0,1,0
26458,Completed,100,0,0,0
26944,Failed,30.558,22.743,1,0
27494,Completed,100,0,0,0
27532,Completed,60,14.211,1,0
28087,Completed,100,0,0,0
28154,Completed,100,0,0,0
28219,Completed,60,12.392,1,0
28243,Completed,70,0,1,0
2881,Completed,100,0,0,0
3048,Failed,96.98,0,1,0
3080,Completed,100,0,0,0
3099,Completed,100,0,0,0
3178,Failed,44.39,0,1,0
3248,Completed,100,0,0,0
3410,Completed,100,0,0,0
3472,Completed,100,0,0,0
3514,Completed,100,0,0,0
3561,Completed,100,0,0,0
3575,Completed,100,0,0,0
3676,Completed,100,0,0,0
3712,Completed,100,0,0,0
3737,Completed,12.96,54.379,1,0
3800,Completed,100,0,0,0
3869,Completed,70,0,1,0
3904,Completed,100,0,0,0
4468,Completed,100,0,0,0
4937,Completed,70,0,1,0
