route,arm,k,status,score,collisions,failed,watchdog
11715,cand,2,Completed,60,11.671,1,0
11715,base,3,INVALID,,,NA,1
17569,cand,1,Completed,100,0,0,0
17569,base,2,Failed,91.33,0,1,0
17569,cand,4,Completed,100,0,0,0
17598,base,1,INVALID,,,NA,1
17598,cand,3,,0,0,1,0
17598,base,4,Completed,100,0,0,0
2084,cand,2,Completed,60,12.614,1,0
2084,base,3,Completed,100,0,0,0
24258,cand,1,Completed,21.6,22.985,1,0
24258,base,2,Completed,100,0,0,0
24795,base,1,Completed,100,0,0,0
24795,cand,3,Completed,60,7.063,1,0
24795,base,4,Completed,100,0,0,0
25845,cand,2,Failed,40.572,14.059,1,0
25845,base,3,Completed,100,0,0,0
2664,cand,1,INVALID,,,NA,1
2664,base,2,Completed,100,0,0,0
2664,cand,4,INVALID,,,NA,1
26944,base,1,Completed,100,0,0,0
26944,cand,3,Failed,30.558,22.743,1,0
26944,base,4,Completed,100,0,0,0
2709,cand,2,Completed,60,7.539,1,0
2709,base,3,Completed,100,0,0,0
27506,cand,1,Completed,60,12.56,1,0
27506,base,2,Completed,100,0,0,0
27506,cand,4,Completed,100,0,0,0
27529,base,1,Completed,100,0,0,0
27529,cand,3,Completed,100,0,0,0
27529,base,4,Completed,100,0,0,0
27532,cand,2,Completed,60,14.211,1,0
27532,base,3,Completed,100,0,0,0
28099,cand,1,Completed,100,0,0,0
28099,base,2,Completed,100,0,0,0
28099,cand,4,Completed,100,0,0,0
28219,base,1,Completed,100,0,0,0
28219,cand,3,Completed,100,0,0,0
28219,base,4,Completed,100,0,0,0
3086,cand,2,Completed,60,12.004,1,0
3086,base,3,Completed,100,0,0,0
3464,cand,1,INVALID,,,NA,1
3464,base,2,Completed,100,0,0,0
3464,cand,4,Failed,29.38,0,1,0
3670,base,1,Completed,100,0,0,0
3670,cand,3,Completed,60,13.789,1,0
3670,base,4,Completed,100,0,0,0
3737,cand,2,Completed,12.96,54.379,1,0
3737,base,3,Completed,70,0,1,0
2050,cand,1,Completed,70,0,1,0
2050,base,2,Completed,100,0,0,0
28243,cand,2,Completed,70,0,1,0
3048,base,1,Completed,100,0,0,0
3144,cand,1,Completed,100,0,0,0
3144,base,2,Completed,70,0,1,0
3865,cand,2,Completed,70,0,1,0
4937,base,1,Completed,100,0,0,0
