route,run,status,score,collisions,failed,watchdog
11755,1,Completed,100,0,0,0
11755,2,Completed,100,0,0,0
11755,3,Completed,100,0,0,0
11755,4,Completed,100,0,0,0
11755,5,Completed,100,0,0,0
11755,6,Completed,100,0,0,0
11755,7,Completed,100,0,0,0
11755,8,Completed,100,0,0,0
2143,1,Completed,100,0,0,0
2143,2,Completed,100,0,0,0
24258,1,Failed,45.366,10.133,1,0
24258,2,Failed,29.6892,18.58,1,0
25845,1,,0,0,1,0
25845,2,Completed,100,0,0,0
28243,1,Completed,70,0,1,0
28243,2,Completed,70,0,1,0
2913,1,Completed,100,0,0,0
2913,2,Completed,100,0,0,0
3086,1,Completed,100,0,0,0
3086,2,Completed,100,0,0,0
3410,1,Completed,100,0,0,0
3410,2,Completed,100,0,0,0
3697,1,Completed,100,0,0,0
3697,2,Completed,100,0,0,0
3717,1,Completed,100,0,0,0
3717,2,Failed,56.82,0,1,0
3737,1,Completed,100,0,0,0
3737,2,Completed,100,0,0,0
4183,1,Completed,100,0,0,0
4183,2,Completed,100,0,0,0
4669,1,Completed,100,0,0,0
4669,2,Completed,60,12.88,1,0
3090,1,Completed,100,0,0,0
3090,2,Completed,100,0,0,0
4468,1,Completed,100,0,0,0
4468,2,Completed,100,0,0,0
3666,1,Completed,100,0,0,0
3666,2,Completed,100,0,0,0
