route,run,status,score,collisions,failed,watchdog
11755,1,Completed,70,0,1,0
11755,2,Completed,42,12.325,1,0
11755,3,Completed,70,0,1,0
11755,4,Failed,23.856,21.699,1,0
11755,5,Completed,70,0,1,0
11755,6,INVALID,,,NA,1
11755,7,Completed,42,12.325,1,0
11755,8,,0,0,1,0
2143,1,Completed,100,0,0,0
2143,2,Completed,100,0,0,0
24258,1,INVALID,,,NA,1
24258,2,INVALID,,,NA,0
25845,1,INVALID,,,NA,0
25845,2,INVALID,,,NA,0
28243,1,INVALID,,,NA,0
28243,2,INVALID,,,NA,0
2913,1,INVALID,,,NA,0
2913,2,INVALID,,,NA,0
3086,1,INVALID,,,NA,0
3086,2,INVALID,,,NA,0
3410,1,INVALID,,,NA,0
3410,2,INVALID,,,NA,0
3697,1,INVALID,,,NA,0
3697,2,INVALID,,,NA,0
3717,1,INVALID,,,NA,0
3717,2,INVALID,,,NA,0
3737,1,INVALID,,,NA,0
3737,2,INVALID,,,NA,0
4183,1,INVALID,,,NA,0
4183,2,INVALID,,,NA,0
4669,1,INVALID,,,NA,0
4669,2,INVALID,,,NA,0
3090,1,INVALID,,,NA,0
3090,2,INVALID,,,NA,0
4468,1,INVALID,,,NA,0
4468,2,INVALID,,,NA,0
3666,1,INVALID,,,NA,0
3666,2,INVALID,,,NA,0
