route,arm,k,status,score,collisions,failed,watchdog
11755,cand,1,Completed,100,0,0,0
11755,base,1,Completed,60,12.325,1,0
11755,cand,2,Completed,100,0,0,0
11755,base,2,Completed,60,12.325,1,0
17655,cand,1,Completed,100,0,0,0
17655,base,1,Completed,60,8.25,1,0
17655,cand,2,Completed,100,0,0,0
17655,base,2,Completed,60,8.25,1,0
2201,cand,1,Completed,60,12.094,1,0
2201,base,1,Completed,60,12.094,1,0
2201,cand,2,Failed,32.73,0,1,0
2201,base,2,Failed,45.92,0,1,0
23659,cand,1,Failed,75.87,0,1,0
23659,base,1,Failed,79.89,0,1,0
23659,cand,2,Failed,79.89,0,1,0
23659,base,2,Failed,79.89,0,1,0
23910,cand,1,Completed,100,0,0,0
23910,base,1,Completed,100,0,0,0
23910,cand,2,Completed,100,0,0,0
23910,base,2,Failed,96.08,0,1,0
24098,cand,1,Completed,100,0,0,0
24098,base,1,Failed,96.08,0,1,0
24098,cand,2,Completed,100,0,0,0
24098,base,2,Failed,96.08,0,1,0
24759,cand,1,INVALID,,,NA,1
24759,base,1,INVALID,,,NA,1
24759,cand,2,INVALID,,,NA,1
24759,base,2,,0,0,1,0
25381,cand,1,,0,0,1,0
25381,base,1,,0,0,1,0
25381,cand,2,,0,0,1,0
25381,base,2,,0,0,1,0
25896,cand,1,,0,0,1,0
25896,base,1,,0,0,1,0
25896,cand,2,,0,0,1,0
25896,base,2,,0,0,1,0
26401,cand,1,Completed,100,0,0,0
26401,base,1,Completed,60,7.966,1,0
26401,cand,2,Completed,100,0,0,0
26401,base,2,Completed,60,7.966,1,0
26950,cand,1,,0,0,1,0
26950,base,1,,0,0,1,0
26950,cand,2,,0,0,1,0
26950,base,2,,0,0,1,0
26990,cand,1,,0,0,1,0
26990,base,1,,0,0,1,0
26990,cand,2,,0,0,1,0
26990,base,2,,0,0,1,0
2790,cand,1,Completed,100,0,0,0
2790,base,1,Completed,100,0,0,0
2790,cand,2,Completed,98.993457,0,1,0
2790,base,2,Completed,98.993457,0,1,0
28093,cand,1,Failed,29.62,0,1,0
28093,base,1,Failed,30.86,0,1,0
28093,cand,2,Failed,29.62,0,1,0
28093,base,2,Failed,30.86,0,1,0
2989,cand,1,Completed,100,0,0,0
2989,base,1,Failed,32.56,0,1,0
2989,cand,2,Failed,32.56,0,1,0
2989,base,2,Failed,33.91,0,1,0
3373,cand,1,Completed,70,0,1,0
3373,base,1,Completed,70,0,1,0
3373,cand,2,Completed,70,0,1,0
3373,base,2,Completed,70,0,1,0
3436,cand,1,Completed,60,7.572,1,0
3436,base,1,Completed,60,7.572,1,0
3436,cand,2,Completed,21.6,22.715,1,0
3436,base,2,Completed,100,0,0,0
24258,base,1,Failed,77.13,0,1,0
24258,base,2,Completed,100,0,0,0
2913,base,1,Completed,100,0,0,0
2913,base,2,Completed,100,0,0,0
3697,base,1,Completed,100,0,0,0
3697,base,2,Completed,100,0,0,0
4183,base,1,Completed,100,0,0,0
4183,base,2,Completed,100,0,0,0
