route,arm,k,status,score,collisions,failed,watchdog
17563,cand,1,Completed,60,8.671,1,0
17563,base,1,Completed,100,0,0,0
17563,cand,2,Completed,60,8.671,1,0
17563,base,2,Completed,60,8.671,1,0
18252,cand,1,Completed,50,7.51,1,0
18252,base,1,Completed,100,0,0,0
18252,cand,2,Completed,50,7.51,1,0
18252,base,2,Completed,100,0,0,0
2204,cand,1,Failed,30.26,0,1,0
2204,base,1,Failed,30.26,0,1,0
2204,cand,2,Failed,30.26,0,1,0
2204,base,2,Failed,30.26,0,1,0
23687,cand,1,Completed,100,0,0,0
23687,base,1,Completed,100,0,0,0
23687,cand,2,Completed,100,0,0,0
23687,base,2,Completed,100,0,0,0
24041,cand,1,Completed,100,0,0,0
24041,base,1,Completed,100,0,0,0
24041,cand,2,Completed,100,0,0,0
24041,base,2,Completed,100,0,0,0
24206,cand,1,,0,0,1,0
24206,base,1,,0,0,1,0
24206,cand,2,,0,0,1,0
24206,base,2,,0,0,1,0
24816,cand,1,,0,0,1,0
24816,base,1,,0,0,1,0
24816,cand,2,,0,0,1,0
24816,base,2,,0,0,1,0
25854,cand,1,,0,0,1,0
25854,base,1,,0,0,1,0
25854,cand,2,,0,0,1,0
25854,base,2,,0,0,1,0
25955,cand,1,INVALID,,,NA,1
25955,base,1,INVALID,,,NA,1
25955,cand,2,INVALID,,,NA,1
25955,base,2,INVALID,,,NA,1
26435,cand,1,,0,0,1,0
26435,base,1,,0,0,1,0
26435,cand,2,,0,0,1,0
26435,base,2,,0,0,1,0
26956,cand,1,,0,0,1,0
26956,base,1,,0,0,1,0
26956,cand,2,,0,0,1,0
26956,base,2,,0,0,1,0
27018,cand,1,Completed,60,12.852,1,0
27018,base,1,Completed,60,12.852,1,0
27018,cand,2,Completed,60,12.852,1,0
27018,base,2,Completed,60,12.852,1,0
28035,cand,1,Completed,70,0,1,0
28035,base,1,Completed,70,0,1,0
28035,cand,2,Completed,70,0,1,0
28035,base,2,Completed,70,0,1,0
28330,cand,1,Completed,60,11.402,1,0
28330,base,1,Completed,60,11.402,1,0
28330,cand,2,Completed,60,11.402,1,0
28330,base,2,Completed,60,11.402,1,0
3093,cand,1,Completed,100,0,0,0
3093,base,1,Completed,100,0,0,0
3093,cand,2,Completed,100,0,0,0
3093,base,2,Completed,60,11.618,1,0
3378,cand,1,Completed,70,0,1,0
3378,base,1,Completed,70,0,1,0
3378,cand,2,Completed,70,0,1,0
3378,base,2,Completed,70,0,1,0
3905,cand,1,Failed,7.94,0,1,0
3905,base,1,Failed,7.94,0,1,0
3905,cand,2,Failed,7.94,0,1,0
3905,base,2,Completed,100,0,0,0
25845,base,1,Completed,100,0,0,0
25845,base,2,Completed,100,0,0,0
3086,base,1,Completed,100,0,0,0
3086,base,2,Completed,100,0,0,0
3717,base,1,Completed,100,0,0,0
3717,base,2,Completed,100,0,0,0
4669,base,1,Completed,100,0,0,0
4669,base,2,Completed,100,0,0,0
